大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/9,68.67,430.80,81.3 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/9,53.84,416.66,32.65 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/9,292.11,8358.47,72.7 %
德基水庫,2018,臺灣中區,臺中市和平區,1/9,1407.69,14952.41,99.68 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/9,272.18,36.08,27.15 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/9,1004.52,4243.38,97.19 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/9,748.38,12846.65,99.37 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/9,100.36,1516.25,59.89 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/9,71.23,617.86,66.74 %
白河水庫,2018,臺灣南區,臺南市白河區,1/9,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/9,55.07,5100.00,65.15 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/9,213.32,24423.00,52.79 %
南化水庫,2018,臺灣南區,臺南市南化區,1/9,174.62,6939.56,73.05 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/9,140.75,76.09,73.87 %
澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/9,17.71,253.00,96.22 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/9,35.87,1293.59,80.21 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/9,44.40,369.92,49.25 %
牡丹水庫,2018,臺灣南區,屏東縣牡丹鄉,1/9,137.10,2016.64,76.35 %
成功水庫,2018,澎湖地區,澎湖縣湖西鄉,1/9,5.42,29.08,24.03 %
興仁水庫,2018,澎湖地區,澎湖縣馬公巿,1/9,6.10,15.50,21.19 %
東衛水庫,2018,澎湖地區,澎湖縣馬公巿,1/9,2.40,0.80,2.3 %
西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/9,10.80,13.20,57.12 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/9,18.50,0.17,0.6 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/10,244.98,19895.07,99.91 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/10,72.08,43.69,100 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/10,85.82,966.00,96.41 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/10,168.03,31704.98,94.5 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/10,140.02,440.50,81.88 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/10,139.75,1797.68,57.12 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/10,74.02,1445.23,48.19 %
大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/10,69.16,482.15,90.99 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/10,54.12,438.56,34.37 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/10,292.76,8594.00,74.75 %
德基水庫,2018,臺灣中區,臺中市和平區,1/10,1407.68,14948.23,99.11 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/10,272.04,31.13,23.43 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/10,1004.84,4324.94,99.06 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/10,748.29,12773.05,98.8 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/10,100.42,1528.65,60.38 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/10,71.25,619.25,66.89 %
白河水庫,2018,臺灣南區,臺南市白河區,1/10,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/10,55.00,5045.00,64.45 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/10,213.31,23524.00,51.85 %
南化水庫,2018,臺灣南區,臺南市南化區,1/10,174.82,7028.71,74.87 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/10,140.77,76.29,74.07 %
澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/10,17.72,254.00,96.6 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/10,35.91,1280.26,79.38 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/10,44.36,367.81,48.96 %
