時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2021/3/16 下午 5:44:49,新北市,12 ～ 15 歲,YouTube,Google,Facebook,傳說對決,x
2021/3/16 下午 5:45:14,新北市,12 ～ 15 歲,食物語,YouTube,Line,Facebook,x
2021/3/16 下午 5:47:24,新北市,12 ～ 15 歲,Google,傳說對決,Crash fever （台）,Messenger,Crash fever （日）
2021/3/16 下午 5:47:47,新北市,12 ～ 15 歲,YouTube,維基百科,x,x,x
2021/3/16 下午 5:48:12,新北市,12 ～ 15 歲,PUBG M,薑餅人王國,Googlw,YouTube,x
2021/3/16 下午 5:48:58,新北市,12 ～ 15 歲,Bilibili,明日方舟,Google,元神,Phigros
2021/3/16 下午 5:49:16,新北市,12 ～ 15 歲,Instagram,Messenger,Line,x,x
2021/3/16 下午 5:49:36,新北市,12 ～ 15 歲,Instagram,Facebook,YouTube,Messenger,x
2021/3/16 下午 5:50:04,新北市,12 ～ 15 歲,Instagram,YouTube,Messenger,微博,x
2021/3/16 下午 5:50:34,新北市,12 ～ 15 歲,YouTube,Instagram,Line,Messenger,Facebook
2021/3/16 下午 5:50:55,新北市,12 ～ 15 歲,Instagram,Line,YouTube,Messenger,Facebook
2021/3/16 下午 5:51:16,新北市,12 ～ 15 歲,YouTube,Messenger,Line,Google,x
2021/3/16 下午 5:52:03,新北市,12 ～ 15 歲,Instagram,中國抖音,傳說,NBA 2K Mobile,Facebook
2021/3/16 下午 5:52:24,新北市,12 ～ 15 歲,Instagram,YouTube,Google,Webtoon,Facebook
2021/3/16 下午 5:52:45,新北市,12 ～ 15 歲,Instagram,YouTube,Line,Google,傳說對決
2021/3/16 下午 5:54:18,新北市,12 ～ 15 歲,Instagram,YouTube,Facebook,Google,Dcard
2021/3/16 下午 5:54:39,新北市,12 ～ 15 歲,Google,YouTube,Facebook,x,x
2021/3/16 下午 5:54:57,新北市,12 ～ 15 歲,Facebook,Line,YouTube,x,x
2021/3/16 下午 5:55:28,新北市,12 ～ 15 歲,Chrome,YouTube,Dynamix,LOR,x
2021/3/16 下午 5:55:54,新北市,12 ～ 15 歲,Facebook,Google,Messenger,YouTube,桌遊
2021/3/16 下午 5:56:27,新北市,12 ～ 15 歲,Instagram,Line,Netflix,Dcard,YouTube
2021/3/16 下午 5:56:49,新北市,12 ～ 15 歲,YouTube,Instagram,傳說對決,Line,Google
2021/3/16 下午 5:57:11,新北市,12 ～ 15 歲,Instagram,Line,Netfilx,Dcard,YouTube
2021/3/16 下午 5:57:37,新北市,12 ～ 15 歲,Instagram,YouTube,Line,Facebook,傳說對決
2021/3/16 下午 5:58:17,新北市,12 ～ 15 歲,王者榮耀,傳說對決,微博,微信,抖音
2021/3/16 下午 5:58:39,新北市,12 ～ 15 歲,Instagram,Line,Facebook,x,x
2021/3/16 下午 5:59:02,新北市,12 ～ 15 歲,Line,Instagram,YouTube,傳說對決,小紅書
2021/3/16 下午 6:00:26,新北市,12 ～ 15 歲,微信,YouTube,Facebook,Instagram,BoyLove（網站）
2021/3/16 下午 6:00:53,新北市,12 ～ 15 歲,YouTube,Facebook,Messenger,x,x
2021/3/16 下午 6:01:10,新北市,12 ～ 15 歲,Messenger,Facebook,x,x,x
2021/3/16 下午 6:01:30,新北市,12 ～ 15 歲,Messenger,Line,動畫瘋,x,x
2021/3/16 下午 6:02:03,新北市,12 ～ 15 歲,Instagram,Messenger,Line,傳說對決,YouTube
2021/3/16 下午 6:03:03,新北市,12 ～ 15 歲,Discord,YouTube,Line,Google,x
2021/3/16 下午 6:05:19,新北市,12 ～ 15 歲,Facebook,Line,x,x,x
2021/3/16 下午 6:05:41,新北市,12 ～ 15 歲,Messenger,Instagram,Facebook,YouTube,Line
2021/3/16 下午 6:05:57,新北市,12 ～ 15 歲,Facebook,Line,x,x,x
2021/3/16 下午 6:06:13,新北市,12 ～ 15 歲,Instagram,Facebook,Webtoon,x,x
2021/3/16 下午 6:06:29,新北市,12 ～ 15 歲,Instagram,Facebook,x,x,x
2021/3/16 下午 6:06:42,新北市,12 ～ 15 歲,Facebook,Line,x,x,x
2021/3/16 下午 6:06:55,新北市,12 ～ 15 歲,Instagram,Messenger,x,x,x
2021/3/16 下午 6:07:47,新北市,12 ～ 15 歲,Instagram,Facebook,YouTube,x,x
2021/3/16 下午 6:09:25,新北市,12 ～ 15 歲,Instagram,Spotify,Google,蝦皮,YouTube
2021/3/16 下午 6:09:55,新北市,12 ～ 15 歲,Instagram,PUBG 絕地求生,YouTube,x,x
2021/3/16 下午 6:10:23,新北市,12 ～ 15 歲,Safri,YouTube,Instagram,Line,Google
2021/3/16 下午 6:12:21,新北市,12 ～ 15 歲,Facebook,Instagram,YouTube,Tiktok,Lemon
2021/3/16 下午 6:12:50,新北市,12 ～ 15 歲,Intagram,YouTube,Line,V live,相機
2021/3/16 下午 6:13:08,新北市,12 ～ 15 歲,Facebook,Line,Instagram,YouTube,Google
2021/3/16 下午 6:13:26,新北市,12 ～ 15 歲,Line,Facebook,Instagram,Google,YouTube
2021/3/16 下午 6:13:55,新北市,12 ～ 15 歲,YouTube,傳說對決,Line,Instagram,Facebook
2021/3/16 下午 6:14:55,新北市,12 ～ 15 歲,YouTube,Instagram,Messenger,傳說對決,Facebook
2021/3/16 下午 6:15:32,新北市,12 ～ 15 歲,Instagram,Facebook,愛動漫或動畫瘋,抖音,YouTube
2021/3/16 下午 6:38:33,新北市,12 ～ 15 歲,傳說對決,APIX,NAFAX,Free Fire（我要活下去）,關於我轉生變成史萊姆這檔事：魔物之王
2021/3/16 下午 6:39:38,新北市,12 ～ 15 歲,Messenger,YouTube,Facebook,Instagram,傳說對決
2021/3/16 下午 6:40:02,新北市,12 ～ 15 歲,傳說對決,抖音,YouTube,Messenger,Line
2021/3/16 下午 6:40:31,新北市,12 ～ 15 歲,傳說對決,Tik tok,YouTube,Messenger,Facebook
2021/3/16 下午 6:40:56,新北市,12 ～ 15 歲,Facebook,Chrome,傳說對決,崩壞 3rd,YouTube
2021/3/16 下午 6:41:20,新北市,12 ～ 15 歲,YouTube,極速領域,Facebook,Messenger,Instagram
2021/3/16 下午 6:43:09,新北市,12 ～ 15 歲,Messenger,Facebook,YouTube,平安京,光·遇
2021/3/16 下午 6:43:50,新北市,12 ～ 15 歲,Facebook,Line,傳說對決,YouTube,Messenger
2021/3/16 下午 6:44:34,新北市,12 ～ 15 歲,YouTube,Messenger,傳說對決,Google,CSgo
2021/3/16 下午 6:45:02,新北市,12 ～ 15 歲,Facebook,Instagram,傳說對決,YouTube,x
2021/3/16 下午 6:46:37,新北市,12 ～ 15 歲,Google,Omlet Arcade,YouTuber,Facebook,Call of duty
2021/3/16 下午 6:47:01,新北市,12 ～ 15 歲,Instagram,Facebook,傳說對決,抖音,Webtoon
2021/3/16 下午 6:47:22,新北市,12 ～ 15 歲,話本小說,YouTube,Tik tok,Line,荒野亂鬥
2021/3/16 下午 6:47:53,新北市,12 ～ 15 歲,Line,YouTube,傳說對決,Facebook,Instagram
2021/3/16 下午 6:49:22,新北市,12 ～ 15 歲,刀劍亂舞,ヒプマイA.R.B,YouTube music,Twitter,Lofter
2021/3/16 下午 6:49:47,新北市,12 ～ 15 歲,Google,YouTube,Facebook,Instagram,Messenger
2021/3/16 下午 6:50:23,新北市,12 ～ 15 歲,Lofter,Sky光·遇,YouTube,Bilibili,Facebook
2021/3/16 下午 6:50:55,新北市,12 ～ 15 歲,Facebook,Instagram,Free Fire,Tik tok,YouTube
2021/3/16 下午 6:51:15,新北市,12 ～ 15 歲,小米瀏覽器,傳說對決,Facebook,Messenger,Google
2021/3/16 下午 6:51:45,新北市,12 ～ 15 歲,YouTube,Google,快手,番茄免費小說,Line
2021/3/16 下午 6:52:02,新北市,12 ～ 15 歲,Google,YouTube,Facebook,Line,Messenger
2021/3/16 下午 6:52:24,新北市,12 ～ 15 歲,Instagram,Facebook,YouTube,Google,Messenger
2021/3/16 下午 6:52:51,新北市,12 ～ 15 歲,YouTube,Google,Instagram,Facebook,Line
2021/3/16 下午 6:53:11,新北市,12 ～ 15 歲,YouTube,Messenger,Facebook,Instagram,傳說對決
2021/3/16 下午 7:04:16,高雄市,12 ～ 15 歲,Messenger,Line,Instagram,Facebook,x
2021/3/16 下午 7:04:40,高雄市,12 ～ 15 歲,Messenger,Line,Facebook,Instagram,x
2021/3/16 下午 7:05:09,高雄市,12 ～ 15 歲,Google,Facebook,Instagram,x,x
2021/3/16 下午 7:06:05,高雄市,12 ～ 15 歲,微信,QQ,Instagram,淘寶,蝦皮
2021/3/16 下午 7:06:30,高雄市,12 ～ 15 歲,部落衝突,Messenger,YouTube,Tiktok,傳說對決
2021/3/16 下午 7:07:01,高雄市,12 ～ 15 歲,傳說對決,Instagram,YouTube,Facebook,Line
2021/3/16 下午 7:07:23,高雄市,12 ～ 15 歲,Instagram,Line,Zenly,YouTube,We Chat
2021/3/16 下午 7:07:45,高雄市,12 ～ 15 歲,Instagram,Messenger,YouTube,Safari,Tik tok
2021/3/16 下午 7:09:16,高雄市,12 ～ 15 歲,YouTube,傳說對決,Instagram,Tik tok,仙靈之契
2021/3/17 下午 9:24:36,連江縣,15 歲以上 ～ 18 歲,IG,Line,Youtube,小紅書,chrome
2021/3/17 下午 9:29:17,連江縣,12 ～ 15 歲,Instagram ,Facebook ,Messenger,Kkbox,Clubhouse 
2021/3/18 下午 4:11:24,高雄市,12 ～ 15 歲,傳說對決,Messenger,Facebook,Google,YouTube
2021/3/18 下午 4:11:51,高雄市,12 ～ 15 歲,Instagram,LINE,Messenger,YouTube,小紅書
2021/3/18 下午 4:13:02,高雄市,12 ～ 15 歲,巴哈姆特動畫瘋,Facebook,YouTube,Google,Top Top
2021/3/18 下午 4:13:25,高雄市,12 ～ 15 歲,MSN,Instagram,LINE,Facebook,Google
2021/3/18 下午 4:13:49,高雄市,12 ～ 15 歲,Facebook,Instagram,LINE,YouTube,Google
2021/3/18 下午 4:14:11,高雄市,12 ～ 15 歲,Facebook,Instagram,YouTube,Google,棒球殿堂
2021/3/18 下午 4:16:06,高雄市,12 ～ 15 歲,bilibili,和平精英,PUBG,Pixiv,PicACG
2021/3/18 下午 4:16:34,高雄市,12 ～ 15 歲,Instagram,Facebook,TikTok,Google,x
2021/3/18 下午 4:17:56,高雄市,12 ～ 15 歲,Instagram,Messenger,TikTok,千尋影視,WEBTOON
2021/3/18 下午 4:18:17,高雄市,12 ～ 15 歲,部落衝突,抖音,Facebook,Google,x
2021/3/18 下午 4:18:37,高雄市,12 ～ 15 歲,Facebook,Google,x,x,x
2021/3/18 下午 4:19:00,高雄市,12 ～ 15 歲,Google,LINE,相機,相簿,Facebook
2021/3/18 下午 4:20:25,高雄市,12 ～ 15 歲,Google,抖音,決勝時刻,PUBG,Instagram
2021/3/18 下午 4:20:43,高雄市,12 ～ 15 歲,Google,Facebook,YouTube,LINE,蝦皮賣場
2021/3/18 下午 4:21:07,高雄市,12 ～ 15 歲,Instagram,Facebook,Messenger,PUBG,Free Fire
2021/3/18 下午 4:21:37,高雄市,12 ～ 15 歲,WEBTOON,Instagram,TikTok,荒野亂鬥,YouTube
2021/3/18 下午 4:22:03,高雄市,12 ～ 15 歲,Instagram,Facebook,抖音,傳說對決,愛奇藝
2021/3/18 下午 4:22:26,高雄市,12 ～ 15 歲,PUBG,Instagram,Facebook,傳說對決,YouTube
2021/3/18 下午 4:22:59,高雄市,12 ～ 15 歲,YouTube,Instagram,LINE,微博,x
2021/3/18 下午 4:23:29,高雄市,12 ～ 15 歲,YouTube,微博,Messenger,Instagram,x
2021/3/18 下午 4:24:21,高雄市,12 ～ 15 歲,Facebook,Messenger,漫畫人,YouTube,x
2021/3/18 下午 4:24:41,高雄市,12 ～ 15 歲,Facebook,Instagram,LINE,Messenger,YouTube
2021/3/18 下午 4:25:01,高雄市,12 ～ 15 歲,Facebook,YouTube,WEBTOON,x,x
2021/3/18 下午 4:25:41,高雄市,12 ～ 15 歲,傳說對決,YouTube,第五人格,極速領域,Facebook
2021/3/18 下午 4:26:09,高雄市,12 ～ 15 歲,Messenger,Facebook,Instagram,YouTube,極速領域
2021/3/18 下午 4:26:39,高雄市,12 ～ 15 歲,Instagram,Facebook,Messenger,抖音,YouTube
2021/3/18 下午 4:27:09,高雄市,12 ～ 15 歲,Messenger,LINE,傳說對決,YouTube,Instagram
2021/3/18 下午 4:27:55,高雄市,12 ～ 15 歲,傳說對決,Messenger,烏托邦：起源,荒野亂鬥,YouTube
2021/3/18 下午 4:28:17,高雄市,12 ～ 15 歲,Instagram,Facebook,Messenger,LINE,YouTube
2021/3/18 下午 4:28:43,高雄市,12 ～ 15 歲,SWAG,LINE,傳說對決,Messenger,YouTube
2021/3/18 下午 4:29:06,高雄市,12 ～ 15 歲,Instagram,Zenly,傳說對決,Messenger,LINE
2021/3/18 下午 4:29:54,高雄市,12 ～ 15 歲,YouTube,Safari,x,x,x
2021/3/18 下午 4:30:33,高雄市,12 ～ 15 歲,Instagram,YouTube,Facebook,Muse Dash,Lanota
2021/3/18 下午 4:32:03,高雄市,12 ～ 15 歲,七貓免費小說大全,王者榮耀,Messenger,Instagram,绿洲
2021/3/18 下午 4:32:39,高雄市,12 ～ 15 歲,Instagram,抖音短視頻,小紅書,微博,剪映
2021/3/18 下午 4:33:04,高雄市,12 ～ 15 歲,Instagram,YouTube,小紅書,TikTok,LINE
2021/3/18 下午 4:33:35,高雄市,12 ～ 15 歲,原神,YouTube,Google,Pinterest,KKBOX
2021/3/18 下午 4:44:06,南投縣,12 ～ 15 歲,Facebook,Instagram,x,x,x
2021/3/18 下午 4:44:25,南投縣,12 ～ 15 歲,遊戲,Facebook,x,x,x
2021/3/18 下午 4:44:47,南投縣,12 ～ 15 歲,Facebook,Instagram,抖音,x,x
2021/3/18 下午 4:45:19,南投縣,12 ～ 15 歲,Facebook,Instagram,傳說對決,神魔之塔,Twitter
2021/3/18 下午 4:45:42,南投縣,12 ～ 15 歲,Facebook,Instagram,吃雞,x,x
2021/3/18 下午 4:46:05,南投縣,12 ～ 15 歲,Facebook,Instagram,傳說對決,冰棒,神來也麻將
2021/3/18 下午 4:46:43,南投縣,12 ～ 15 歲,傳說對決,Facebook,Instagram,神來也麻將,冰棒
2021/3/18 下午 4:47:12,南投縣,12 ～ 15 歲,Facebook,Instagram,傳說對決,神來也麻將,冰棒
2021/3/18 下午 4:50:32,南投縣,12 ～ 15 歲,傳說對決,Instagram,三國志・戰略版, 華人影視,x
2021/3/26 下午 7:57:28,臺北市,15 歲以上 ～ 18 歲,Google,Line,Instagram,Camera,Gallery
2021/3/31 下午 5:25:31,桃園市,15 歲以上 ～ 18 歲,Discord,Youtube,FB,動畫瘋,IG
2021/4/2 下午 4:03:57,彰化縣,15 歲以上 ～ 18 歲,instagram ,youtube,小紅書,dcard,facebook
2021/4/10 下午 6:53:16,臺北市,15 歲以上 ～ 18 歲,YouTube,Instagram,Line,Chrome,Facebook
2021/4/10 下午 6:53:31,臺北市,15 歲以上 ～ 18 歲,Instagram,Chrome,Line,Youtube,Webtoon
2021/4/13 下午 4:55:51,新北市,15 歲以上 ～ 18 歲,FGO,黑潮,FB,推特,IG
2021/4/18 下午 11:11:55,臺中市,15 歲以上 ～ 18 歲,twitter,fb,discord,手遊FGO,google
2021/4/18 下午 11:19:39,臺中市,15 歲以上 ～ 18 歲,YT,推特,跑薑,Google ,Google map
2021/4/18 下午 11:23:38,臺北市,15 歲以上 ～ 18 歲,Chrome,Twitter,漫畫人,Instagram,漫畫人
2021/4/18 下午 11:28:47,高雄市,15 歲以上 ～ 18 歲,IG ,Line,Tik tok,YouTube ,FB
2021/4/18 下午 11:38:51,嘉義市,15 歲以上 ～ 18 歲,Twitter,Instagram,Messenger ,Line,Dcard
2021/4/18 下午 11:47:04,嘉義市,15 歲以上 ～ 18 歲,YouTube,KKBOX,Twitter,Messager,Instagram
2021/4/18 下午 11:48:04,臺南市,18以上,twitter,天下布魔,plurk,discord,X
2021/4/18 下午 11:55:37,新北市,15 歲以上 ～ 18 歲,instagram,youtube,chrome,小紅書,facebook 
2021/4/19 上午 12:03:25,新北市,15 歲以上 ～ 18 歲,Twitter,Instagram ,YouTube ,Line,相機
2021/4/19 上午 10:15:07,雲林縣,12 ～ 15 歲,IG,YouTube,Spotify,Twitter,Dcard
2021/4/19 上午 10:16:31,嘉義縣,15 歲以上 ～ 18 歲,Twitter,Instagram,薑餅人王國,Facebook,Line
