選舉類型,地區,姓名,當選註記,,,,,,
2006直轄市議員選舉,高雄市第2選區,戴德銘,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,楊色玉,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,黃昭星,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,林瑩蓉,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,藍健菖,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,藍星木,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,陳玫娟,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,陳麗珍,*,,,,,,
2006直轄市議員選舉,高雄市第2選區,周鍾㴴,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,黃柏霖,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,黃淑美,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,黃添財,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,童燕珍,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,洪平朗,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,林武忠,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,曾俊傑,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,梅再興,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,康裕成,*,,,,,,
2006直轄市議員選舉,高雄市第3選區,鄭新助,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,周玲妏,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,許崑源,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,李文良,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,莊啟旺,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,王齡嬌,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,吳益政,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,蕭永達,*,,,,,,
2006直轄市議員選舉,高雄市第4選區,黃紹庭,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,曾麗燕,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,陳麗娜,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,朱挺玗,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,林宛蓉,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,李順進,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,吳銘賜,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,蔡媽福,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,陳信瑜,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,林國正,*,,,,,,
2006直轄市議員選舉,高雄市第5選區,鄭光峰,*,,,,,,
2006直轄市議員選舉,臺北市,李銀來,*,,,,,,
2006直轄市議員選舉,高雄市,林國權,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,林世宗,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,林瑞圖,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,陳碧峰,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,賴素如,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,陳政忠,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,吳思瑤,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,陳建銘,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,吳碧珠,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,莊瑞雄,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,黃平洋,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,潘懷宗,*,,,,,,
2010直轄市議員選舉,臺北市第01選區,何志偉,*,,,,,,
